"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"211980_at",1651.12814837586,4072.45769909214,5.3695233267713,6.37829781307991e-07,0.0172601037931824,-0.751444080313007
"204114_at",188.826657897475,493.818890016854,5.32498176127053,7.67807510700003e-07,0.0172601037931824,-0.80453445029599
"212013_at",153.15395485603,458.270671456629,5.21711260287091,1.19963597164531e-06,0.0172601037931824,-0.932789907261011
"204008_at",29.8697449477374,142.065966218427,5.20465388729276,1.26274193274311e-06,0.0172601037931824,-0.947571776115329
"218429_s_at",69.1259339771514,291.93655184955,5.1464545063692,1.60321743489862e-06,0.0175311826506164,-1.01652962580877
"203477_at",1967.36896238424,6950.32347377865,4.85134632868232,5.27167331359369e-06,0.0442951065135826,-1.36340185795041
"205656_at",103.525809999727,311.481863473708,4.82871789601146,5.76710616490982e-06,0.0442951065135826,-1.3897775897534
"204115_at",582.778612403939,2643.01293512697,4.79922752534337,6.48122271803678e-06,0.0442951065135826,-1.4240981927542
